-,Orange_juice,Grapefruit_juice,Apple_juice,Maraschino_cherry,Carrot,Malibu_rum,Cinnamon,Vodka,Pisang_ambon,Lemon_juice,Strawberries,Banana,Sugar,Lemon,Apple,Soda_water,Pineapple_juice,Vermouth,Absolut_citron,Lime_juice,Light_rum,Triple_sec,Egg_white,Mint,Amaretto,Sugar_syrup,Grenadine,Gold_rum,Lemon-lime_soda,Raisins,Blueberries,Tequila,Blue_curacao,Maraschino_liqueur,Cointreau,Cranberry_juice,Pisco,Pineapple_syrup,St._germain,Angostura_bitters,Lavender,Cherry,Ice,Pineapple,Gin,Lime,Bitters,Club_soda,Aperol,Ginger_ale,Ginger_beer,Orange_curacao,Orange_bitters,Strawberry_schnapps,Powdered_sugar,Green_chartreuse,Agave_syrup,Rum,Dry_vermouth,Cognac,Fresh_lime_juice,Water,Lemonade,Dark_rum,Banana_liqueur,Sweet_and_sour,Galliano,Passoa,Vanilla_syrup,Espresso,Coffee,Sour_mix,Cream,Chambord_raspberry_liqueur,Midori_melon_liqueur,Fruit_punch,Lemon_peel,Kool-aid,151_proof_rum,Pernod,Creme_de_cacao,Roses_sweetened_lime_juice,Peach_schnapps,Kirschwasser,Strawberry_liqueur,White_creme_de_menthe,Southern_comfort,Anise,Licorice_root,Wormwood,Creme_de_banane,Apricot_brandy,Champagne,7-up,Grape_soda,Candy,Gold_tequila,Cream_of_coconut,Lime_juice_cordial,Passion_fruit_syrup,Coconut_liqueur,Peach_nectar,Coffee_liqueur,Tomato_juice,Worcestershire_sauce,Añejo_rum,Tia_maria,Everclear,Mountain_dew,Surge,Peachtree_schnapps,Orange,White_rum,Cherry_grenadine,Kahlua,Chocolate_ice-cream,Olive_brine,Olive,Dr._pepper,Beer,Jägermeister,Sambuca,Raspberry_liqueur,Melon_liqueur,Heavy_cream,Iced_tea,Baileys_irish_cream,Bourbon,Coca-cola,Jello,Sloe_gin,Tonic_water,Vanilla_ice-cream,Oreo_cookie,Sprite,Pink_lemonade,Cherry_liqueur,Creme_de_cassis,Lillet_blanc,Grape_juice,Half-and-half,Limeade,Ouzo,Crown_royal
Bacardi_Cocktail,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee's_Knees,2.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody_Punch,,,,,,,,10.0,,,3.0,,,,,,,,,0.5,,,,,,,,,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue_Margarita,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa_Blanca,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopolitan,,,,,,,,,,,,,,,,,,,1.0,0.25,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchamp's_Punch,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,5.0,2.5,1.5,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen_Daiquiri,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen_Mint_Daiquiri,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen_Pineapple_Daiquiri,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
